Bezeichnung_Parameter;Bezeichnung_Alternative;Wert_Parameter
wochenzbudget_zweck_kat2;9;-3.0457
wochenzbudget_zweck_kat2;10;-3.9189
wochenzbudget_zweck_kat2;11;-4.5151
wochenzbudget_zweck_kat2;12;-5.1110
wochenzbudget_zweck_kat2;13;-4.3327
wochenzbudget_zweck_kat2;14;-4.2414
wochenzbudget_zweck_kat2;15;-5.0423
wochenzbudget_zweck_kat3;1;0
wochenzbudget_zweck_kat3;2;-0.3068
wochenzbudget_zweck_kat3;3;0.0419
wochenzbudget_zweck_kat3;4;0.0428
wochenzbudget_zweck_kat3;5;-0.3347
wochenzbudget_zweck_kat3;6;-0.5998
wochenzbudget_zweck_kat3;7;-0.9338
wochenzbudget_zweck_kat3;8;-1.2093
wochenzbudget_zweck_kat3;9;-1.6416
wochenzbudget_zweck_kat3;10;-2.1642
wochenzbudget_zweck_kat3;11;-2.5714
wochenzbudget_zweck_kat3;12;-2.9076
wochenzbudget_zweck_kat3;13;-4.3567
wochenzbudget_zweck_kat3;14;-13.4068
wochenzbudget_zweck_kat3;15;-6.3928
wochenzbudget_zweck_kat4;1;0
wochenzbudget_zweck_kat4;2;-0.2908
wochenzbudget_zweck_kat4;3;0.0593
wochenzbudget_zweck_kat4;4;0.1681
wochenzbudget_zweck_kat4;5;0.0236
wochenzbudget_zweck_kat4;6;-0.1065
wochenzbudget_zweck_kat4;7;-0.2121
wochenzbudget_zweck_kat4;8;-0.1790
wochenzbudget_zweck_kat4;9;-0.7266
wochenzbudget_zweck_kat4;10;-0.7530
wochenzbudget_zweck_kat4;11;-1.7838
wochenzbudget_zweck_kat4;12;-2.0338
wochenzbudget_zweck_kat4;13;-2.2926
wochenzbudget_zweck_kat4;14;-1.9042
wochenzbudget_zweck_kat4;15;-2.8743
wochenzbudget_zweck_kat5;1;0
wochenzbudget_zweck_kat5;2;-0.3469
wochenzbudget_zweck_kat5;3;0.0416
wochenzbudget_zweck_kat5;4;0.1900
wochenzbudget_zweck_kat5;5;0.3412
wochenzbudget_zweck_kat5;6;0.3523
wochenzbudget_zweck_kat5;7;0.1561
wochenzbudget_zweck_kat5;8;0.3908
wochenzbudget_zweck_kat5;9;0.0285
wochenzbudget_zweck_kat5;10;-0.1361
wochenzbudget_zweck_kat5;11;-0.8951
wochenzbudget_zweck_kat5;12;-1.0344
wochenzbudget_zweck_kat5;13;-0.7674
wochenzbudget_zweck_kat5;14;-0.4445
wochenzbudget_zweck_kat5;15;-0.7604
tourhat1akt;1;0
tourhat1akt;2;-1.4715
tourhat1akt;3;-2.2558
tourhat1akt;4;-2.7257
tourhat1akt;5;-2.9691
tourhat1akt;6;-2.8110
tourhat1akt;7;-2.9979
tourhat1akt;8;-3.0573
tourhat1akt;9;-3.6156
tourhat1akt;10;-3.4922
tourhat1akt;11;-3.5956
tourhat1akt;12;-3.8028
tourhat1akt;13;-5.1441
tourhat1akt;14;-6.1685
tourhat1akt;15;-6.9343
tourhat2akt;1;0
tourhat2akt;2;-1.0846
tourhat2akt;3;-1.6776
tourhat2akt;4;-2.0543
tourhat2akt;5;-2.1448
tourhat2akt;6;-1.9444
tourhat2akt;7;-2.2316
tourhat2akt;8;-2.3725
tourhat2akt;9;-2.7949
tourhat2akt;10;-2.6563
tourhat2akt;11;-2.9727
tourhat2akt;12;-3.0508
tourhat2akt;13;-3.9352
tourhat2akt;14;-4.7710
tourhat2akt;15;-4.5566
tourhat3akt;1;0
tourhat3akt;2;-0.5496
tourhat3akt;3;-0.7683
tourhat3akt;4;-0.8641
tourhat3akt;5;-0.8582
tourhat3akt;6;-0.8449
tourhat3akt;7;-1.0200
tourhat3akt;8;-0.8597
tourhat3akt;9;-1.1601
