Bezeichnung_Parameter;Bezeichnung_Alternative;Wert_Parameter
tourtyp_transport;4;-0.2976
tourtyp_transport;5;-0.5585
tourtyp_transport;6;-0.3926
tourtyp_transport;7;-0.4018
tourtyp_transport;8;-0.0785
tourtyp_transport;9;-1.1702
tourtyp_transport;10;-10.0562
tourtyp_transport;11;0.2594
tourtyp_transport;12;-8.4131
tourtyp_transport;13;-0.0487
tourtyp_transport;14;-6.1865
tourtyp_transport;15;-10.3147
tourhat2akt;1;0
tourhat2akt;2;-0.0145
tourhat2akt;3;0.0393
tourhat2akt;4;0.2423
tourhat2akt;5;0.1664
tourhat2akt;6;-0.1097
tourhat2akt;7;-0.2456
tourhat2akt;8;-0.1895
tourhat2akt;9;-1.4500
tourhat2akt;10;0.9579
tourhat2akt;11;0.0386
tourhat2akt;12;-6.6983
tourhat2akt;13;1.2629
tourhat2akt;14;-6.7280
tourhat2akt;15;-0.2055
taghat1tour;1;0
taghat1tour;2;-0.0691
taghat1tour;3;-0.0497
taghat1tour;4;0.2465
taghat1tour;5;0.5627
taghat1tour;6;0.6645
taghat1tour;7;0.9430
taghat1tour;8;1.2491
taghat1tour;9;1.0827
taghat1tour;10;1.9567
taghat1tour;11;0.9823
taghat1tour;12;1.1194
taghat1tour;13;2.1984
taghat1tour;14;-0.1441
taghat1tour;15;1.2797
taghat2touren;1;0
taghat2touren;2;0.0163
taghat2touren;3;0.0527
taghat2touren;4;0.1588
taghat2touren;5;0.3611
taghat2touren;6;0.4276
taghat2touren;7;0.4022
taghat2touren;8;0.3506
taghat2touren;9;0.2902
taghat2touren;10;0.7357
taghat2touren;11;-0.5179
taghat2touren;12;-0.3812
taghat2touren;13;0.7363
taghat2touren;14;-8.7320
taghat2touren;15;0.6281
aktliegtvorhauptakt;1;0
aktliegtvorhauptakt;2;-0.2541
aktliegtvorhauptakt;3;-0.3089
aktliegtvorhauptakt;4;-0.3603
aktliegtvorhauptakt;5;-0.6151
aktliegtvorhauptakt;6;-0.5242
aktliegtvorhauptakt;7;-0.3025
aktliegtvorhauptakt;8;-0.5406
aktliegtvorhauptakt;9;-0.7542
aktliegtvorhauptakt;10;-0.0447
aktliegtvorhauptakt;11;-0.7006
aktliegtvorhauptakt;12;0.1907
aktliegtvorhauptakt;13;0.2276
aktliegtvorhauptakt;14;1.0360
aktliegtvorhauptakt;15;-0.1909
tourliegtvorhaupttour;1;0
tourliegtvorhaupttour;2;-0.5017
tourliegtvorhaupttour;3;-0.9604
tourliegtvorhaupttour;4;-1.7098
tourliegtvorhaupttour;5;-2.7949
tourliegtvorhaupttour;6;-3.4152
tourliegtvorhaupttour;7;-3.4789
tourliegtvorhaupttour;8;-9.8571
tourliegtvorhaupttour;9;-9.9061
tourliegtvorhaupttour;10;-10.8642
tourliegtvorhaupttour;11;-10.2584
tourliegtvorhaupttour;12;-9.2439
tourliegtvorhaupttour;13;-8.7419
tourliegtvorhaupttour;14;-8.7269
tourliegtvorhaupttour;15;-12.5285
tourliegtnachhaupttour;1;0
tourliegtnachhaupttour;2;-0.3350
tourliegtnachhaupttour;3;-0.6214
tourliegtnachhaupttour;4;-0.8837
tourliegtnachhaupttour;5;-1.2331
tourliegtnachhaupttour;6;-1.9467
tourliegtnachhaupttour;7;-1.1029
tourliegtnachhaupttour;8;-0.8636
tourliegtnachhaupttour;9;-0.6065
tourliegtnachhaupttour;10;-0.5523
tourliegtnachhaupttour;11;-0.5511
tourliegtnachhaupttour;12;-9.2529
tourliegtnachhaupttour;13;-0.7097
tourliegtnachhaupttour;14;-8.6518
tourliegtnachhaupttour;15;-1.3727
